Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,NHLid,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iFF,iSF,ixG,iSCF,iRB,iRS,iDS,sDist,Pass,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,SOS,SOG,SOGDG,OTOI,Grit,DAP,Pace,GS,GS/G
575000,1988/4/30,Hamilton,ON,CAN,CAN,69,170,,,,R,8476805,Abbott,Spencer,LW,CHI,1,0,0,0,0,0,0,0.1,0,12,514,8.57,0.17,0.00 ,0,1,1000,0,0,0,0,0,2,1,1,0.1,0,0,0,0,15,0,0,3,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,7,6,6,5,4,0.2,0.4,0,1,0,0,0,0,0,1,0,1,4,2,2,9,1,1,0,1,0,0,0,,,,42.63,0,0,126,0.3,0.28
5500000,1987/2/25,Muskegon,MI,USA,USA,74,218,2005,2,42,L,8471716,Abdelkader,Justin,LW/RW,DET,64,7,14,9,5,21,-20,-3.7,50,1397,63969,16.65,0.28,0.62 ,0.07,0.91,977,1.96,2.59,0.43,-11,-0.63,160,138,104,13,49,7,10,17,26.8,237.7,144,74,66,36,18,15,27,0.03,5,12,0.29,0.02,0,0,1,4,4,8,1,2,2,3,2,10,1,5,1,0,0,0,1,1,1,1,0,0,3,0,0,1,35,6,6,16,11,19,1,45,22,32,10,8.6,20,2,0,0,0,916,895,697,671,498,495,48.5,44.3,168,151,34,45,24,31,37,45,61,76,500,471,361,367,143,81,64,74,0.1,0.5,0.7,,,,2641.98,223,8,104.4,16.1,0.26
842500,1993/9/23,Stockholm,,SWE,SWE,71,196,2012,2,37,R,8476857,Aberg,Pontus,LW,NSH,15,1,1,0,1,2,-2,-1.2,4,256,11102,12.33,0.25,0.40 ,0.07,0.92,986,1.62,2.27,0.42,-2,-0.65,24,15,12,0.5,0,0,1,1,32.9,0,9,17,-8,3,2,5,2,0.01,1,0,1,0.01,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,1,1,8,2,3,1,0,2,0,0,0,0,142,159,106,117,77,89,5.6,6,18,20,5,7,4,4,10,9,14,13,97,92,68,72,28,23,13,13,-0.2,0.1,-0.1,,,,558.17,15,7,97.6,1,0.06
892500,1991/12/1,Johnston,RI,USA,USA,70,208,,,,R,8478569,Acciari,Noel,C,BOS,29,2,3,1,2,5,3,0.5,16,431,18047,10.23,0.21,0.56 ,0.08,0.96,1035,1.8,1.2,0.6,3,0.6,43,,24,2.6,10,,2,,23.8,25.6,80,59,21,8,4,10,5,0.02,11,18,0.38,0.11,3,6,2,3,6,9,7,3,1,6,6,12,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,1,0,0,5,2,1,14,4,5,1,-2,3,0,0,1,0,232,251,172,193,118,146,10.3,9.3,31,24,9,6,8,3,10,13,18,16,144,132,184,177,28,45,29,23,0,0.5,0.5,,,,1141.29,101,30,96.4,4.8,0.17
625000,1992/4/30,Morristown,NJ,USA,USA,72,202,2010,5,140,L,8475844,Agostino,Kenny,LW,STL,7,1,2,2,0,3,0,1.9,2,117,5366,12.78,0.25,0.75 ,0.07,0.91,982,2.69,2.01,0.57,1,0.67,26,24,17,1.4,4,1,1,2,31.4,38.5,9,7,2,7,4,1,3,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,4,0,2,3,0,0,8,1,1,0,0.1,1,0,0,0,0,95,65,77,48,57,34,5.2,3.3,20,10,4,3,3,4,3,4,6,8,29,38,30,39,14,8,5,3,0.2,0.1,0.3,,,,271.29,14,10,107.4,4.6,0.66
925000,1997/7/26,Rauma,,FIN,FIN,71,172,2015,2,35,L,8478427,Aho,Sebastian,RW/LW,CAR,82,24,25,12,13,49,-1,5.1,26,1814,82591,16.78,0.29,0.69 ,0.09,0.91,1005,3.14,2.21,0.59,21,0.93,362,285,214,24.4,77,25,26,51,26,215.3,51,91,-42,71,57,40,14,0.01,17,18,0.49,0.03,1,0,11,10,5,8,2,3,10,2,9,14,1,5,4,2,0,0,1,2,4,7,1,0,9,0,2,3,66,26,8,17,47,12,7,97,13,22,9,7.2,13,0,0,0,0,1443,1018,1070,798,757,561,80.1,50.4,283,167,71,50,82,43,68,53,150,96,705,558,373,493,236,203,53,66,4.2,1.8,5.9,5,2,0,3267.64,91,7,108.8,57.6,0.71
2800000,1988/9/24,Burnaby,BC,CAN,CAN,75,219,2007,1,5,L,8473991,Alzner,Karl,D,WSH,82,3,10,5,5,13,23,-5.4,28,2095,97371,19.8,0.35,0.21 ,0.1,0.93,1029,2.3,2.11,0.52,5,0.19,162,121,81,3.4,4,2,5,7,53.5,96.6,105,106,-1,40,52,17,162,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,5,34,2,0,25,19,1,0,34,14,9,-5,-0.4,14,0,0,0,0,1182,1671,894,1226,641,840,54.5,82.7,182,305,62,57,44,78,80,96,124,174,907,865,552,530,293,196,92,75,-0.3,4.8,4.6,,,,3045.6,295,8.7,105.8,18.5,0.23
700000,1994/5/7,Burlington,ON,CAN,CAN,75,221,2012,4,95,R,8476981,Anderson,Josh,RW,CBJ,78,17,12,8,4,29,12,-0.1,89,1364,56253,12.02,0.23,0.69 ,0.1,0.94,1034,2.69,1.92,0.58,12,0.77,193,160,119,14.1,53,10,9,19,27.8,134.1,147,86,61,41,16,25,40,0.04,8,21,0.28,0.03,1,2,1,7,6,12,1,4,4,8,5,14,0,3,3,0,0,0,5,0,0,5,1,0,6,1,1,5,34,20,0,9,34,7,1,48,37,24,-13,-14.9,32,5,0,0,0,780,903,590,669,443,490,39.7,43.6,134,149,42,30,34,37,42,39,76,76,423,468,391,352,96,87,65,50,2.6,1.5,4,,,,3226.96,281,5.4,107.9,25.9,0.33
742500,1996/10/27,Malmö,,SWE,SWE,73,214,2015,2,53,R,8478397,Andersson,Rasmus,D,CGY,1,0,0,0,0,0,-1,0.2,0,23,1113,18.55,0.31,0.00 ,0,0.8,800,0,3.23,0,-1,-3.23,1,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,0,0,0,0,0,15,15,6,9,6,5,0.7,0.5,2,0,0,1,3,0,1,0,4,0,5,7,9,6,3,0,0,0,0,0,-0.1,,,,41.45,6,0,97,-0.1,-0.05
600000,1991/5/17,Pickering,ON,CAN,CAN,73,210,2011,3,80,L,8476404,Andreoff,Andy,LW/C,L.A,36,0,2,2,0,2,-2,0.5,70,527,22888,10.6,0.21,0.33 ,0.04,0.94,973,0.94,1.42,0.4,-3,-0.47,81,57,38,4.1,12,5,2,7,27.2,116.5,70,47,23,19,10,5,7,0.02,41,28,0.59,0.24,12,13,14,5,15,10,15,10,14,11,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,5,0,2,9,1,0,21,19,9,-10,-11,14,2,0,2,1,359,308,254,228,173,147,16.2,15.7,47,55,6,9,18,13,15,27,33,40,136,150,242,215,52,28,46,27,-0.9,0.5,-0.4,,,,1457.01,149,5.4,105,5.4,0.15
